Yakov,Trenin,13,,8478508,1997-01-13,NSH,64,7,2,9,43
Tyson,Barrie,22,,8475197,1991-07-26,NSH,40,1,10,11,31
Alexandre,Carrier,45,,8478851,1996-10-08,NSH,33,3,10,13,42
Dante,Fabbro,57,,8479371,1998-06-20,NSH,39,2,7,9,36
Roman,Josi,59,,8474600,1990-06-01,NSH,151,9,31,40,46
Jeremy,Lauzon,3,,8478468,1997-04-28,NSH,58,4,3,7,46
Ryan,McDonagh,27,,8474151,1989-06-13,NSH,48,1,10,11,39
Luke,Schenn,2,,8474568,1989-11-02,NSH,30,0,5,5,27
Mathew,Barzal,13,,8478445,1997-05-26,NYI,133,12,36,48,45
Casey,Cizikas,53,,8475231,1991-02-27,NYI,43,5,6,11,39
Cal,Clutterbuck,15,,8473504,1987-11-18,NYI,32,4,9,13,46
Pierre,Engvall,18,,8478115,1996-05-31,NYI,67,5,9,14,41
Hudson,Fasching,20,,8477392,1995-07-28,NYI,29,3,5,8,33
Julien,Gauthier,16,,8479328,1997-10-15,NYI,29,5,4,9,25
Simon,Holmstrom,10,,8481601,2001-05-24,NYI,41,11,5,16,45
Bo,Horvat,14,,8477500,1995-04-05,NYI,133,19,24,43,45
Anders,Lee,27,,8475314,1990-07-03,NYI,110,13,6,19,46
Kyle,MacLean,32,,8481237,1999-04-29,NYI,1,0,0,0,2
Matt,Martin,17,,8474709,1989-05-08,NYI,23,2,1,3,25
Brock,Nelson,29,,8475754,1991-10-15,NYI,146,20,17,37,46
Jean-Gabriel,Pageau,44,,8476419,1992-11-11,NYI,57,5,13,18,46
Kyle,Palmieri,21,,8475151,1991-02-01,NYI,103,11,14,25,46
Oliver,Wahlstrom,26,,8480789,2000-06-13,NYI,31,2,3,5,22
Sebastian,Aho,25,,8480222,1996-02-17,NYI,35,1,5,6,37
Samuel,Bolduc,4,,8481541,2000-12-09,NYI,27,1,2,3,31
Robert,Bortuzzo,41,,8474145,1989-03-18,NYI,5,0,0,0,15
Noah,Dobson,8,,8480865,2000-01-07,NYI,100,6,41,47,46
